Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,149.979996,152.639999,149.580002,151.729996,146.975052,3685200
2023-01-04,148.259995,154.320007,147.679993,152.720001,147.934021,4443300
2023-01-05,152.210007,154.509995,150.289993,154.259995,149.425751,3266000
2023-01-06,157.649994,161.059998,156.880005,160.149994,155.131165,4944200
2023-01-09,159.880005,160.369995,156.339996,156.350006,151.450272,3853800
2023-01-10,157.419998,157.539993,154.839996,155.970001,151.082169,2554900
2023-01-11,157.149994,159.000000,155.899994,158.970001,153.988159,3146800
2023-01-12,160.000000,160.250000,156.479996,159.750000,154.743729,3222600
2023-01-13,159.320007,164.929993,159.130005,164.600006,159.441742,5161200
2023-01-17,164.490005,165.690002,162.070007,162.100006,157.020065,3527900
2023-01-18,163.410004,165.190002,160.630005,160.830002,155.789856,2798100
2023-01-19,159.500000,160.610001,157.529999,159.100006,154.114090,2881300
2023-01-20,159.630005,162.750000,158.500000,162.210007,157.126617,3122000
2023-01-23,162.210007,165.490005,161.350006,164.630005,159.470795,2371400
2023-01-24,169.820007,169.820007,163.259995,163.550003,158.424637,1902000
2023-01-25,162.500000,164.210007,160.639999,164.210007,159.063950,2248200
2023-01-26,165.699997,167.100006,164.479996,167.029999,161.795563,2079100
2023-01-27,168.000000,170.320007,166.789993,168.509995,163.229187,3850300
2023-01-30,167.000000,169.589996,165.740005,168.679993,163.393860,3453500
2023-01-31,168.119995,172.220001,168.119995,172.139999,166.745422,3716000
2023-02-01,172.110001,177.679993,169.910004,177.080002,171.530624,4022200
2023-02-02,177.710007,181.699997,176.899994,181.020004,175.347153,4003800
2023-02-03,177.270004,179.070007,175.199997,176.759995,171.220657,2941600
2023-02-06,174.690002,175.380005,171.720001,173.839996,168.392136,2642700
2023-02-07,173.550003,175.440002,171.940002,174.759995,169.283325,2256700
2023-02-08,173.520004,173.970001,171.509995,171.789993,166.406403,2037000
2023-02-09,172.699997,174.020004,170.559998,171.369995,165.999557,1656100
2023-02-10,170.320007,171.199997,168.789993,170.020004,164.691879,1841400
2023-02-13,170.990005,173.500000,170.330002,173.320007,167.888458,2432600
2023-02-14,171.550003,172.979996,168.839996,171.169998,166.845474,2418400
2023-02-15,170.009995,176.289993,169.949997,176.020004,171.572952,2954400
2023-02-16,174.199997,177.289993,173.770004,174.539993,170.130341,2318700
2023-02-17,173.350006,173.520004,170.889999,173.220001,168.843704,2678100
2023-02-21,169.520004,170.990005,166.169998,166.220001,162.020554,4133600
2023-02-22,165.600006,169.300003,165.199997,165.720001,161.533188,2941000
2023-02-23,165.899994,165.899994,161.869995,165.500000,161.318741,2718500
2023-02-24,164.080002,167.429993,163.000000,166.960007,162.741867,2888800
2023-02-27,168.669998,169.869995,165.479996,166.809998,162.595627,5245000
2023-02-28,168.729996,172.669998,167.100006,168.500000,164.242935,10669300
2023-03-01,168.160004,168.399994,160.800003,162.399994,158.297043,5835700
2023-03-02,161.210007,165.990005,160.949997,165.940002,161.747620,2829200
2023-03-03,166.149994,166.210007,164.320007,166.000000,161.806107,2318600
2023-03-06,166.589996,166.759995,164.520004,165.199997,161.026306,2220900
2023-03-07,165.830002,166.619995,162.580002,162.820007,158.706451,2410800
2023-03-08,162.899994,163.729996,162.169998,163.509995,159.379013,1752700
2023-03-09,164.309998,164.699997,160.470001,160.639999,156.581512,1872200
2023-03-10,160.270004,161.869995,157.509995,158.179993,154.183670,2754200
2023-03-13,156.320007,160.729996,156.229996,157.919998,153.930237,2342500
2023-03-14,159.770004,160.320007,156.550003,158.369995,154.368866,2574200
2023-03-15,156.330002,159.860001,156.100006,159.130005,155.109665,2633900
2023-03-16,157.550003,163.240005,157.229996,163.050003,158.930649,2510100
2023-03-17,162.729996,163.460007,158.289993,159.360001,155.333862,13175000
2023-03-20,159.369995,163.369995,159.259995,163.240005,159.115845,2875800
2023-03-21,164.229996,164.770004,161.479996,162.710007,158.599228,2497200
2023-03-22,162.899994,163.110001,157.369995,157.470001,153.491608,2909900
2023-03-23,158.750000,159.240005,154.449997,156.119995,152.175720,2791700
2023-03-24,154.720001,156.570007,152.679993,156.220001,152.273193,2703700
2023-03-27,157.339996,160.039993,156.479996,159.380005,155.353348,3078700
2023-03-28,159.050003,161.259995,158.100006,159.770004,155.733505,2910600
2023-03-29,160.889999,161.000000,155.919998,158.110001,154.115448,4219400
2023-03-30,159.800003,161.410004,159.669998,160.270004,156.220871,2237400
2023-03-31,161.500000,165.830002,160.949997,165.630005,161.445450,3094100
2023-04-03,166.399994,167.960007,165.330002,166.059998,161.864578,2744400
2023-04-04,165.710007,167.020004,164.949997,166.050003,161.854843,2350500
2023-04-05,165.800003,166.990005,164.059998,165.240005,161.065292,2762100
2023-04-06,162.570007,165.839996,160.679993,165.580002,161.396713,2552900
2023-04-10,165.080002,169.679993,164.589996,169.000000,164.730301,2724400
2023-04-11,169.710007,171.240005,169.380005,169.580002,165.295654,2155500
2023-04-12,170.460007,170.770004,163.190002,163.509995,159.379013,3900300
2023-04-13,164.039993,164.940002,161.699997,163.270004,159.145081,2464600
2023-04-14,163.000000,165.470001,159.889999,161.000000,156.932419,2370100
2023-04-17,161.509995,163.080002,161.240005,162.699997,158.589478,2566500
2023-04-18,162.949997,163.029999,161.990005,162.399994,158.297043,2195400
2023-04-19,160.750000,162.850006,160.210007,162.509995,158.404251,2183700
2023-04-20,160.919998,162.490005,159.779999,160.279999,156.230621,2809900
2023-04-21,161.320007,164.529999,160.940002,162.179993,158.082596,2743600
2023-04-24,162.309998,164.199997,162.309998,163.940002,159.798157,2313100
2023-04-25,163.949997,164.110001,157.330002,157.610001,153.628067,2723300
2023-04-26,156.949997,158.610001,154.789993,155.449997,151.522644,3077400
2023-04-27,156.229996,158.600006,155.130005,158.149994,154.154434,3037900
2023-04-28,158.649994,159.660004,155.949997,157.750000,153.764526,3432600
2023-05-01,157.679993,158.750000,156.339996,157.119995,153.150452,1964500
2023-05-02,156.550003,156.800003,153.570007,155.720001,151.785828,2277400
2023-05-03,155.320007,158.619995,154.339996,154.570007,150.664886,2385700
2023-05-04,154.179993,154.500000,150.869995,152.529999,148.676407,2653600
2023-05-05,154.490005,157.770004,154.169998,156.300003,152.351181,2186900
2023-05-08,156.479996,157.789993,155.649994,156.500000,152.546097,1495200
2023-05-09,155.699997,157.860001,155.419998,157.419998,153.442871,1886000
2023-05-10,158.179993,159.300003,155.020004,157.729996,153.745041,2804800
2023-05-11,157.380005,159.309998,156.539993,158.869995,154.856247,2832000
2023-05-12,157.800003,159.300003,156.029999,157.990005,153.998474,3361600
2023-05-15,157.970001,160.789993,157.399994,160.570007,156.513306,4055200
2023-05-16,157.380005,160.850006,154.699997,156.910004,153.981445,5805900
