Date,Open,High,Low,Close,Adj Close,Volume
2022-12-05,103.389999,104.239998,103.000000,103.550003,101.422089,9285800
2022-12-06,103.820000,104.190002,101.440002,102.080002,99.982300,8383000
2022-12-07,101.290001,102.970001,101.059998,101.870003,99.776619,4194300
2022-12-08,102.739998,103.910004,102.400002,103.739998,101.608192,5465100
2022-12-09,103.430000,103.500000,101.750000,101.790001,99.698257,7999600
2022-12-12,101.129997,102.849998,100.820000,102.699997,100.589561,5796000
2022-12-13,104.820000,105.199997,100.989998,102.110001,100.011688,7066000
2022-12-14,102.320000,103.300003,100.699997,102.190002,100.090034,5624000
2022-12-15,101.209999,101.550003,99.449997,99.989998,97.935249,7244400
2022-12-16,99.279999,99.540001,98.019997,98.830002,96.799088,13862300
2022-12-19,98.430000,98.809998,97.730003,98.300003,96.279976,5771100
2022-12-20,98.190002,98.580002,97.269997,98.000000,95.986145,4533500
2022-12-21,96.720001,99.070000,96.349998,98.669998,96.642365,5566300
2022-12-22,98.449997,98.559998,96.169998,97.760002,95.751076,4756900
2022-12-23,97.589996,98.300003,96.879997,98.269997,96.250595,3944500
2022-12-27,98.570000,99.459999,98.209999,99.199997,97.161484,4402500
2022-12-28,99.410004,99.910004,98.389999,98.599998,96.573814,3491500
2022-12-29,99.000000,100.650002,98.669998,99.769997,97.719765,3976100
2022-12-30,99.190002,99.250000,98.239998,99.199997,97.161484,3988900
2023-01-03,100.559998,101.169998,99.470001,100.830002,98.757996,6607700
2023-01-04,102.690002,104.730003,102.550003,104.459999,102.313393,8166600
2023-01-05,104.489998,105.099998,103.489998,104.430000,102.284012,5575100
2023-01-06,105.379997,107.000000,105.010002,106.690002,104.497566,9644100
2023-01-09,106.519997,106.680000,104.430000,104.739998,102.587639,10124800
2023-01-10,104.360001,106.430000,104.169998,106.000000,103.821747,4183600
2023-01-11,105.809998,106.440002,104.860001,106.300003,104.115578,5634400
2023-01-12,106.290001,106.440002,105.169998,105.849998,103.674820,4882000
2023-01-13,105.070000,107.300003,105.070000,107.230003,105.026474,5529700
2023-01-17,106.949997,107.599998,106.309998,106.750000,104.556335,7477200
2023-01-18,107.139999,107.470001,104.910004,105.000000,102.842300,5725800
2023-01-19,105.000000,105.699997,104.239998,104.260002,102.117508,5115800
2023-01-20,104.400002,105.199997,103.889999,105.040001,102.881485,6543500
2023-01-23,105.040001,106.889999,104.400002,106.209999,104.027428,6320500
2023-01-24,106.400002,106.870003,105.410004,106.639999,104.448593,5517200
2023-01-25,106.059998,107.139999,105.900002,106.980003,104.781609,5416900
2023-01-26,107.300003,108.800003,107.059998,108.760002,106.525024,6324100
2023-01-27,108.739998,109.760002,108.339996,109.019997,106.779686,6851100
2023-01-30,108.260002,108.870003,107.419998,108.400002,106.172432,6880700
2023-01-31,108.260002,109.150002,107.500000,109.139999,106.897217,5816300
2023-02-01,108.970001,110.779999,107.980003,109.989998,107.729752,5841200
2023-02-02,110.040001,110.830002,108.000000,109.150002,106.907021,9852900
2023-02-03,104.580002,106.440002,103.040001,104.300003,102.156685,15200500
2023-02-06,104.000000,106.169998,103.300003,105.019997,102.861885,6392200
2023-02-07,104.830002,107.379997,104.559998,106.830002,104.634697,6207500
2023-02-08,106.320000,106.540001,105.650002,106.300003,104.115578,5557500
2023-02-09,105.730003,106.610001,105.599998,106.050003,104.391205,5608400
2023-02-10,105.519997,107.260002,105.470001,107.089996,105.414925,6298600
2023-02-13,107.449997,108.930000,107.279999,108.519997,106.822563,5192400
2023-02-14,107.930000,108.470001,106.699997,107.980003,106.291016,5109400
2023-02-15,107.500000,109.000000,107.260002,109.000000,107.295059,4059100
2023-02-16,107.760002,109.099998,107.410004,107.540001,105.857895,4596800
2023-02-17,106.739998,107.459999,106.230003,107.099998,105.424774,6876400
2023-02-21,105.500000,105.949997,104.709999,104.779999,103.141060,5438000
2023-02-22,105.410004,105.940002,104.389999,104.769997,103.131218,7523700
2023-02-23,105.510002,105.510002,102.629997,103.510002,101.890930,6857900
2023-02-24,102.650002,102.720001,100.820000,101.599998,100.010803,6019700
2023-02-27,102.330002,103.300003,102.150002,102.440002,100.837669,5235100
2023-02-28,101.989998,102.949997,101.900002,102.089996,100.493134,5186500
2023-03-01,102.190002,102.330002,100.910004,101.430000,99.843468,5382200
2023-03-02,101.279999,103.169998,100.940002,103.010002,101.398758,4777600
2023-03-03,103.400002,104.690002,103.010002,104.550003,102.914665,4882100
2023-03-06,104.449997,105.940002,104.440002,104.989998,103.347778,5237100
2023-03-07,104.989998,105.680000,103.120003,103.339996,101.723587,3976300
2023-03-08,102.900002,103.019997,101.730003,102.500000,100.896729,4225500
2023-03-09,102.739998,102.750000,99.959999,100.300003,98.731140,5732300
2023-03-10,100.620003,101.239998,99.029999,99.379997,97.825523,6641900
2023-03-13,98.910004,100.199997,98.370003,99.080002,97.530220,6408200
2023-03-14,100.110001,100.379997,98.470001,99.459999,97.904282,6248800
2023-03-15,98.400002,99.370003,97.279999,99.339996,97.786156,6603300
